InputListSize,Test1Results,Test2Results,Test3Results
0,114,0,227
100,5006,796,569
200,19684,569,341
300,47559,569,569
400,87950,683,796
500,139378,910,910
600,204231,1252,1138
700,283193,1821,1593
800,396628,2276,2048
900,525766,2276,2275
1000,633400,2275,2503
1100,771754,2845,3072
1200,945947,2958,2958
1300,1122757,3299,3186
1400,1326533,3641,4096
1500,1549082,3983,3641
1600,1740456,4323,4096
1700,2028655,4779,4324
1800,2245060,4665,4551
1900,2447243,4892,4779
2000,2735214,5234,5006
2100,3013173,9330,5348
2200,3337098,5575,5917
2300,3636788,5916,7282
2400,3943532,6941,6258
2500,4344599,7282,6599
2600,4647588,8874,6940
2700,5039097,8647,7282
2800,5378723,7623,7395
2900,5782975,8306,7509
3000,6254355,7623,7851
3100,6699454,8989,8761
3200,7251161,8420,8647
3300,7700128,8647,8875
3400,8285058,11036,10012
3500,8657225,9102,15588
3600,9196190,44715,9216
3700,9890460,13881,9557
3800,10127914,14905,9785
3900,10566755,18204,11150
4000,11441136,14677,10923
4100,11879294,19342,11378
4200,12360231,25031,10695
4300,13224031,13540,11378
4400,14100574,15018,11606
4500,14507329,14905,14109
4600,14995548,18091,12515
4700,15485361,18318,13540
4800,16264510,15701,12857
4900,17401490,16726,13767
5000,18658733,15929,15132
5100,19305445,17067,14109
5200,19332865,19456,16612
5300,19750543,16043,15246
5400,20877282,17977,15815
5500,22923686,19228,15701
5600,22833575,17977,20139
5700,23242378,17294,16839
5800,24156808,25941,17180
5900,24883051,20935,17636
6000,25571178,19001,17522
6100,26301061,18660,18432
6200,28362370,17977,18091
6300,28545438,17635,19115
6400,30280547,31061,19228
6500,30551793,33451,19797
6600,31808467,35840,20138
6700,32402955,38912,20025
6800,34120200,27762,19456
6900,34753714,26396,21163
7000,35769407,22983,20252
7100,37241689,21959,21163
7200,37647306,21163,21163
7300,39029136,25486,22073
7400,39927524,21959,26397
7500,41512901,25259,22414
7600,44040357,23211,21732
7700,44278834,23893,22528
7800,46847137,24462,22869
7900,48262758,36181,26396
8000,47433660,36978,24121
8100,48248536,51655,24576
8200,50282083,37092,28672
8300,51048717,37660,28444
8400,51823087,32313,27307
8500,53844119,36182,25828
8600,60930303,44828,26169
8700,55666381,32313,29924
8800,57534041,29582,29241
8900,59277455,35385,28444
9000,62064210,35385,27876
9100,62251488,31972,28217
9200,64019024,42781,28672
9300,64960875,34816,32540
9400,66272389,30834,32313
9500,67555118,34361,31630
9600,69210355,33109,32768
9700,70980052,34816,34474
9800,73749968,36181,33337
9900,74583730,35954,31061
10000,77858933,40050,31403
10100,75964422,49607,31630
10200,77409511,47559,40050
10300,79655368,48355,43235
10400,83269173,44601,36181
10500,82207513,51883,37660
10600,84118636,42211,44373
10700,86344126,55410,41757
10800,87206219,53248,44601
10900,89340460,43349,41643
11000,90754715,51541,40391
11100,93600748,44146,37660
11200,95131627,44942,43463
11300,96031949,46649,47673
11400,98016116,48128,63488
11500,100294969,50404,60530
11600,101585889,49721,58823
11700,103746299,44373,57571
11800,105936404,40505,46308
11900,111083021,43918,45056
12000,112905283,67356,47787
12100,110719160,61212,53589
12200,112250835,54841,48128
12300,114148644,49266,54955
12400,118276155,46649,54954
12500,127035553,43463,53589
12600,120592895,50176,53248
12700,121744438,52338,52452
12800,123062893,45625,63716
12900,126330018,44601,54158
13000,128091864,55523,53816
13100,129242725,56206,60643
13200,132998069,52224,62009
13300,133256002,65422,78279
13400,136413104,72021,70656
13500,138221485,57686,72931
13600,139008940,56206,81579
13700,141752232,53476,60416
13800,144015724,63602,60188
13900,147525536,190008,59392
14000,147773116,139377,59961
14100,151295558,168163,75662
14200,151383280,78279,87950
14300,153652916,76914,93070
14400,157393810,65991,84764
14500,159031866,63943,63033
14600,160241891,61781,141881
14700,163103968,60757,82830
14800,164583645,64626,90339
14900,167589763,72021,103082
15000,173543632,79417,87154
15100,172188996,75207,70428
15200,175048341,68267,79076
15300,177513902,72932,105586
15400,208027579,71452,87836
15500,181853494,66901,87154
15600,187447484,65763,97052
15700,185991814,63715,97394
15800,188389563,66332,102058
15900,191027952,59278,121742
16000,194336719,73273,104675
16100,197442052,71111,83171
16200,198839127,70656,93867
16300,202376701,69632,90453
16400,204839758,66901,89429
16500,205712433,108203,95914
16600,209951787,89088,109795
16700,212074422,67129,93753
16800,215287388,69291,83740
16900,217723594,73273,75776
17000,221766227,89770,87153
17100,221682031,78734,105472
17200,229020119,84082,90567
17300,229024670,101604,95801
17400,231294192,88747,104561
17500,289426930,92615,93866
17600,238438744,90681,84537
17700,240924216,90794,172487
17800,242249270,90567,89998
17900,264868829,80555,90567
18000,248869306,95460,101035
18100,253034591,84196,118215
18200,253524631,95345,107406
18300,256477729,97508,99783
18400,260133291,95346,95459
18500,263095263,103083,91932
18600,272410123,107861,89998
18700,265805901,95801,94094
18800,269825323,106610,114574
18900,272399200,97849,118442
19000,276849498,97849,190577
19100,276888524,92615,110364
19200,285624938,98418,233358
19300,285280760,98190,120377
19400,284517768,112981,108658
19500,288856450,113436,118329
19600,296432105,112412,140515
19700,368543902,111957,118442
19800,300183694,98986,119353
19900,309982336,110819,122539
