InputDictionarySize,Test1Results,Test2Results
0,0,0
100,0,0
200,0,0
300,0,0
400,0,0
500,0,0
600,0,0
700,0,1
800,0,0
900,0,0
1000,0,1
1100,0,0
1200,0,1
1300,1,1
1400,0,1
1500,0,1
1600,0,1
1700,1,2
1800,1,1
1900,1,2
2000,1,2
2100,1,3
2200,2,3
2300,2,3
2400,2,3
2500,2,4
2600,2,5
2700,2,5
2800,2,5
2900,2,4
3000,3,5
3100,3,5
3200,3,6
3300,5,6
3400,5,7
3500,6,7
3600,5,7
3700,6,7
3800,5,8
3900,5,8
4000,5,9
4100,6,10
4200,7,11
4300,6,11
4400,6,11
4500,7,12
4600,7,12
4700,7,12
4800,7,13
4900,7,15
5000,8,14
5100,9,15
5200,8,17
5300,9,17
5400,9,17
5500,9,20
5600,10,20
5700,10,18
5800,10,20
5900,10,22
6000,10,23
6100,11,24
6200,10,27
6300,11,24
6400,11,27
6500,13,26
6600,14,28
6700,14,29
6800,14,29
6900,14,32
7000,14,32
7100,15,34
7200,15,35
7300,18,35
7400,16,35
7500,16,38
7600,17,39
7700,19,44
7800,23,44
7900,18,40
8000,20,42
8100,19,42
8200,19,43
8300,20,45
8400,22,47
8500,22,47
8600,21,47
8700,22,48
8800,23,49
8900,25,49
9000,24,53
9100,24,54
9200,26,54
9300,28,54
9400,29,56
9500,28,55
9600,27,58
9700,30,58
9800,33,63
9900,29,67
10000,33,65
10100,32,65
10200,34,65
10300,33,66
10400,32,70
10500,35,69
10600,38,71
10700,37,72
10800,34,73
10900,37,74
11000,41,74
11100,42,77
11200,39,79
11300,44,80
11400,40,79
11500,43,84
11600,44,84
11700,43,84
11800,49,88
11900,50,89
12000,47,92
12100,47,97
12200,51,94
12300,52,96
12400,61,98
12500,53,100
12600,53,100
12700,58,103
12800,58,104
12900,58,107
13000,54,107
13100,55,113
13200,56,112
13300,55,128
13400,59,120
13500,58,116
13600,57,121
13700,58,119
13800,67,121
13900,62,124
14000,69,127
14100,66,127
14200,65,132
14300,72,130
14400,71,132
14500,73,135
14600,68,141
14700,69,140
14800,71,140
14900,75,143
15000,89,147
15100,79,149
15200,75,152
15300,77,149
15400,79,151
15500,83,152
15600,81,155
15700,82,159
15800,86,158
15900,90,163
16000,91,165
16100,92,168
16200,94,170
16300,104,173
16400,93,179
16500,97,177
16600,96,175
16700,93,184
16800,102,187
16900,104,183
17000,112,189
17100,127,187
17200,127,189
17300,125,206
17400,120,199
17500,127,200
17600,120,197
17700,126,203
17800,117,210
17900,118,209
18000,121,227
18100,116,215
18200,112,213
18300,119,240
18400,117,239
18500,115,227
18600,124,221
18700,117,232
18800,128,234
18900,118,235
19000,117,234
19100,126,240
19200,124,240
19300,143,251
19400,136,251
19500,132,245
19600,135,253
19700,138,254
19800,135,259
19900,143,262
