InputListSize,Test1Results,Test2Results,Test3Results
0,0,0,114
100,5461,114,228
200,21959,341,341
300,49949,683,569
400,90112,910,910
500,142108,910,1024
600,208213,1251,1366
700,329613,1593,1707
800,398563,2048,2048
900,531569,2162,2276
1000,671516,2389,2617
1100,814306,2844,3072
1200,980991,2958,3072
1300,1154501,3072,3299
1400,1317886,3641,3754
1500,1566149,3755,3982
1600,1829089,3982,4096
1700,2086112,4551,4437
1800,2343023,4437,4779
1900,2614041,4665,5006
2000,2826805,5120,5461
2100,3234243,5120,5461
2200,3649417,5348,5803
2300,3858199,5461,5916
2400,4066184,5803,6258
2500,4605604,6258,6485
2600,4784576,6827,6827
2700,5485674,6941,6827
2800,5821204,6941,7509
2900,6047280,7168,7737
3000,6564172,7964,7850
3100,6908008,7623,8078
3200,7581572,8192,8306
3300,7833020,8533,8761
3400,8344792,8761,8875
3500,8849850,9102,9785
3600,9370838,8988,9899
3700,9763826,8761,9785
3800,10361614,9444,9785
3900,10810694,9899,10354
4000,11573687,10354,10695
4100,11878610,10354,11833
4200,13122882,10240,11492
4300,13701669,10468,11378
4400,14475699,11377,11605
4500,14836032,11833,12402
4600,15834658,11719,12743
4700,16287721,11833,12971
4800,17228889,12060,12971
4900,17375207,12743,13199
5000,18160387,13312,13540
5100,18653499,13198,13995
5200,19201338,13312,14563
5300,20355043,13881,14222
5400,20642559,14677,14905
5500,21599770,14791,15815
5600,22252285,14791,15019
5700,23046225,15929,14791
5800,24176492,16498,16042
5900,24913657,15815,15815
6000,25804991,15815,15815
6100,26607123,16725,16612
6200,28202058,18318,16384
6300,28557044,18432,16725
6400,29342337,17180,17635
6500,30374186,17180,17636
6600,34702514,18091,21049
6700,32326269,18091,18773
6800,34565753,19570,19228
6900,35512383,18546,20138
7000,36609427,19342,30492
7100,37728089,19342,22756
7200,38962576,20139,21276
7300,40433379,20252,21504
7400,40530203,20366,23097
7500,41845701,23210,21959
7600,43196013,21959,21732
7700,43568521,21618,28331
7800,45127274,22073,50517
7900,46447323,25145,22642
8000,49477334,23666,22528
8100,49326579,23666,22300
8200,49737999,23780,22414
8300,51139853,24235,23324
8400,53757648,154851,23324
8500,53997946,25941,23211
8600,61248994,25372,23210
8700,56656929,27079,23780
8800,57814503,25600,24121
8900,59029306,26511,25259
9000,61528886,28900,25259
9100,63550260,27990,25714
9200,65283775,27990,25714
9300,65488689,28217,25714
9400,66268066,28331,27762
9500,68518814,29127,30720
9600,69267813,28558,30151
9700,71418892,30037,27193
9800,72136032,31630,28444
9900,74534010,31175,30720
10000,75436835,31517,31630
10100,76861558,33565,35043
10200,78344536,32199,37546
10300,78936862,32541,33564
10400,80704852,32199,34019
10500,83283167,32768,32996
10600,86707532,33792,34133
10700,86208162,35157,34247
10800,89307805,37888,33906
10900,89310650,36636,33109
11000,91111522,37547,44146
11100,92353974,40164,40732
11200,97098955,36978,46194
11300,96311614,39026,36636
11400,97729397,39140,39367
11500,98986298,37660,41188
11600,101401911,41302,38343
11700,103439554,44032,37660
11800,104996942,47218,37660
11900,108668091,45283,49607
12000,110442339,49152,49038
12100,111251753,47900,40391
12200,113215440,46307,36864
12300,114734599,46307,36864
12400,117564363,49834,65650
12500,129040201,49266,43918
12600,122117174,46876,43918
12700,124508552,46194,40277
12800,125130574,52110,41757
12900,124883222,50062,38571
13000,128353212,49607,39367
13100,130364572,50631,40505
13200,131935045,56547,42439
13300,134257929,57799,40960
13400,136147206,54727,43349
13500,138739059,59506,42098
13600,142051467,50290,42439
13700,142552885,48242,46194
13800,144500075,49152,49607
13900,147571047,47901,62805
14000,150522211,52338,51541
14100,152185526,56889,57685
14200,154369146,51655,48697
14300,156154203,49379,90339
14400,158580738,55068,49607
14500,159901241,58026,48014
14600,162101359,57685,48242
14700,165490225,52565,48697
14800,167857937,60075,48355
14900,169495083,54385,51655
15000,172645586,49948,47673
15100,173567981,53703,49266
15200,177007023,56320,48811
15300,183115857,56547,51883
15400,207654275,62578,58140
15500,183947002,62691,56093
15600,190268259,58709,53817
15700,188138684,59961,53930
15800,190145493,67925,55978
15900,192879228,65650,61668
16000,200799401,65195,63716
16100,201534633,63146,57799
16200,199574586,66560,57799
16300,204424356,62464,73728
16400,204015098,61099,82830
16500,211526469,61554,119466
16600,216058004,66787,85219
16700,215354290,65308,71907
16800,218700716,68950,64512
16900,221612172,68722,77483
17000,236281862,81465,75093
17100,240357831,67356,74297
17200,234390422,63488,80213
17300,236418167,74638,71339
17400,236943023,80213,77483
17500,286597281,76686,80669
17600,237171147,74638,77710
17700,237692817,75434,77482
17800,242163481,71339,127773
17900,260490552,79189,123449
18000,250090254,76231,89657
18100,249264342,75776,84423
18200,254447823,84423,154737
18300,257038198,85106,104789
18400,261293708,82034,83854
18500,261655407,88633,97849
18600,266068045,89884,96825
18700,266619411,87153,76231
18800,272333437,95005,78734
18900,274228516,91136,75662
19000,275167182,78051,75093
19100,284851819,77937,94436
19200,283579103,81465,89543
19300,290697485,74069,82489
19400,309692317,74865,73841
19500,302948490,81579,85334
19600,298981861,75207,130275
19700,372235759,82716,72135
19800,300824034,97280,79644
19900,306072937,98531,73842
