InputIndices,TestResults
0,0
100,0
200,0
300,0
400,0
500,1
600,1
700,1
800,1
900,1
1000,2
1100,1
1200,2
1300,2
1400,2
1500,3
1600,2
1700,2
1800,3
1900,3
2000,3
2100,3
2200,3
2300,3
2400,3
2500,4
2600,4
2700,4
2800,4
2900,4
3000,4
3100,5
3200,5
3300,5
3400,4
3500,6
3600,5
3700,6
3800,6
3900,5
4000,5
4100,6
4200,6
4300,8
4400,7
4500,8
4600,9
4700,8
4800,8
4900,8
5000,8
5100,10
5200,9
5300,9
5400,9
5500,9
5600,9
5700,9
5800,9
5900,9
6000,9
6100,10
6200,10
6300,10
6400,11
6500,11
6600,10
6700,11
6800,11
6900,11
7000,11
7100,11
7200,12
7300,12
7400,12
7500,12
7600,12
7700,13
7800,13
7900,13
8000,13
8100,13
8200,14
8300,13
8400,13
8500,13
8600,13
8700,14
8800,16
8900,15
9000,14
9100,15
9200,15
9300,15
9400,17
9500,15
9600,15
9700,16
9800,15
9900,16
10000,16
10100,16
10200,16
10300,16
10400,16
10500,16
10600,16
10700,17
10800,16
10900,19
11000,18
11100,18
11200,18
11300,18
11400,18
11500,18
11600,20
11700,19
11800,19
11900,19
12000,19
12100,19
12200,20
12300,19
12400,20
12500,24
12600,20
12700,20
12800,20
12900,20
13000,23
13100,21
13200,20
13300,21
13400,21
13500,22
13600,27
13700,22
13800,22
13900,22
14000,22
14100,22
14200,23
14300,23
14400,23
14500,25
14600,38
14700,26
14800,26
14900,26
15000,26
15100,25
15200,25
15300,25
15400,25
15500,25
15600,26
15700,26
15800,26
15900,26
16000,26
16100,26
16200,26
16300,26
16400,26
16500,26
16600,26
16700,26
16800,26
16900,27
17000,27
17100,27
17200,27
17300,29
17400,27
17500,27
17600,28
17700,27
17800,28
17900,28
18000,28
18100,29
18200,30
18300,30
18400,30
18500,30
18600,30
18700,30
18800,30
18900,30
19000,30
19100,30
19200,31
19300,30
19400,31
19500,32
19600,31
19700,34
19800,31
19900,32
